episode,time,phase,phase_name,active_vehicle_count,total_waiting_time,average_waiting_time_per_vehicle,max_vehicle_waiting_time
1,10,0,MAIN_GREEN,18,0.0,0.0,0.0
1,20,0,MAIN_GREEN,33,2.0,0.06060606060606061,2.0
1,30,0,MAIN_GREEN,52,20.0,0.38461538461538464,12.0
1,40,0,MAIN_GREEN,71,70.0,0.9859154929577465,22.0
1,50,0,MAIN_GREEN,93,142.0,1.5268817204301075,32.0
1,60,0,MAIN_GREEN,110,256.0,2.327272727272727,42.0
1,70,2,TURN_GREEN,123,135.0,1.0975609756097562,42.0
1,80,2,TURN_GREEN,137,296.0,2.1605839416058394,52.0
1,90,4,SIDE_GREEN,141,351.0,2.4893617021276597,23.0
1,100,4,SIDE_GREEN,145,225.0,1.5517241379310345,31.0
1,110,4,SIDE_GREEN,150,443.0,2.953333333333333,41.0
1,120,0,MAIN_GREEN,153,158.0,1.0326797385620916,34.0
1,130,0,MAIN_GREEN,158,325.0,2.0569620253164556,44.0
1,140,0,MAIN_GREEN,167,545.0,3.2634730538922154,54.0
1,150,0,MAIN_GREEN,166,829.0,4.993975903614458,64.0
1,160,0,MAIN_GREEN,163,1186.0,7.276073619631902,74.0
1,170,0,MAIN_GREEN,164,515.0,3.1402439024390243,84.0
1,180,1,MAIN_YELLOW,169,724.0,4.284023668639053,94.0
1,190,2,TURN_GREEN,173,795.0,4.595375722543353,74.0
1,200,3,TURN_YELLOW,179,600.0,3.35195530726257,84.0
1,210,4,SIDE_GREEN,178,342.0,1.9213483146067416,22.0
1,220,4,SIDE_GREEN,178,683.0,3.837078651685393,32.0
1,230,5,SIDE_YELLOW,185,1161.0,6.275675675675676,42.0
1,240,0,MAIN_GREEN,188,1143.0,6.079787234042553,52.0
1,250,0,MAIN_GREEN,179,1557.0,8.69832402234637,62.0
1,260,0,MAIN_GREEN,178,692.0,3.8876404494382024,57.0
1,270,0,MAIN_GREEN,183,585.0,3.19672131147541,67.0
1,280,0,MAIN_GREEN,171,881.0,5.152046783625731,77.0
1,290,0,MAIN_GREEN,172,805.0,4.680232558139535,87.0
1,300,2,TURN_GREEN,178,776.0,4.359550561797753,62.0
1,310,2,TURN_GREEN,183,1035.0,5.655737704918033,72.0
1,320,4,SIDE_GREEN,186,1007.0,5.413978494623656,39.0
1,330,4,SIDE_GREEN,189,1366.0,7.227513227513228,49.0
1,340,4,SIDE_GREEN,186,1947.0,10.46774193548387,59.0
1,350,0,MAIN_GREEN,193,2286.0,11.844559585492227,69.0
1,360,0,MAIN_GREEN,195,443.0,2.2717948717948717,45.0
