episode,run_episode,total_steps,reward,average_waiting_time,epsilon,average_loss,memory_size
1,1,12000,-142095.49400000018,123806.8823016565,0.05,83.61774783521085,1147
2,1,12000,-120197.51300000008,102430.53111679455,0.05,24.443772772084113,2320
3,2,12000,-103968.25700000007,92547.02049910874,0.05,22.893962846507787,3442
4,3,12000,-105549.20200000002,93465.16134751773,0.05,21.877227822939556,4570
5,4,12000,-93918.09299999989,84029.65322580645,0.05,21.0260547702885,5686
6,5,12000,-101119.3050000001,90086.80196253346,0.05,21.589679462796976,6807
7,6,12000,-99153.45,88487.890974084,0.05,19.798635545002764,7926
8,7,12000,-102478.76699999993,91219.04367201426,0.05,19.497874185150746,9048
9,8,12000,-107948.03700000008,95842.69955555556,0.05,19.573607298956976,10173
10,9,12000,-105834.80299999993,94045.19839857651,0.05,19.819552952708722,11297
11,10,12000,-105148.04,96733.21658986175,0.05,21.219299092270813,12382
12,1,12000,-105927.74199999987,94211.25734639358,0.05,20.0931473941752,13505
13,2,12000,-104720.95100000003,93627.97761862131,0.05,19.797278068699576,14622
14,3,12000,-107036.92500000003,95198.9536954586,0.05,19.761049837908995,15745
15,4,12000,-111394.71099999988,100486.64046973803,0.05,19.6151430729605,16852
16,5,12000,-98003.12699999995,87921.9469901168,0.05,21.657145179721116,17965
17,1,12000,-84046.48399999998,76525.07664233577,0.05,20.75218644890472,19061
18,1,12000,-101549.41899999994,91027.75493716338,0.05,21.059116481664578,20175
19,1,12000,-96846.92199999992,85899.13143872113,0.05,20.91340976159484,21301
20,1,12000,-90907.05100000005,82786.08667883211,0.05,20.974079521033016,22397
21,2,12000,-77163.3120000001,71005.36162361623,0.05,23.194735495366732,23481
22,3,12000,-80593.05500000005,74911.98042870457,0.05,22.116091074059195,24554
23,4,12000,-83725.49099999997,77974.31465919701,0.05,22.048624928258047,25625
24,5,12000,-80050.0859999999,74270.7776744186,0.05,21.771875310498615,26700
25,6,12000,-85515.78900000003,79499.80335507922,0.05,21.75848101858546,27773
26,7,12000,-81982.628,75247.127874885,0.05,22.945046506458834,28860
27,8,12000,-82650.64199999996,75589.49770852429,0.05,22.573797567736435,29951
28,9,12000,-82967.20099999993,75744.46569075937,0.05,22.44962131137272,31044
29,10,12000,-78431.226,71593.52790484903,0.05,22.493089465623804,32137
30,1,12000,-88421.77900000002,80734.01555352242,0.05,22.269007456815253,33230
31,2,12000,-84700.3730000001,76711.7722323049,0.05,23.422789435204923,34332
32,1,12000,-83081.61499999992,75984.52337305225,0.05,23.067734186852558,35423
33,2,12000,-82396.96199999997,75221.83165599268,0.05,22.946437182169056,36516
34,3,12000,-82987.23299999996,76724.03429101019,0.05,22.776712632378125,37595
35,1,12000,-80375.80299999987,74982.97754911133,0.05,22.58036253851524,38664
36,2,12000,-88224.14900000002,81354.57393715341,0.05,23.890680286668363,39746
37,3,12000,-83636.77000000003,77465.89600742805,0.05,23.34770870120191,40823
38,1,12000,-81227.88100000008,76834.80170777989,0.05,23.45289720122683,41877
39,2,12000,-85446.47299999994,80837.73529411765,0.05,23.439902425943334,42931
40,3,12000,-85916.77900000002,81057.50141911069,0.05,23.328197632629916,43988
41,4,12000,-80880.79800000013,76791.2361904762,0.05,24.387804994129,45038
42,5,12000,-78740.38600000007,74406.05308056872,0.05,23.57304519725637,46093
