episode,time,phase,phase_name,active_vehicle_count,total_waiting_time,average_waiting_time_per_vehicle,max_vehicle_waiting_time
1,10,0,MAIN_GREEN,0,0.0,0.0,0.0
1,20,0,MAIN_GREEN,1,0.0,0.0,0.0
1,30,0,MAIN_GREEN,4,0.0,0.0,0.0
1,40,1,MAIN_YELLOW,5,7.0,1.4,7.0
1,50,3,TURN_YELLOW,7,0.0,0.0,0.0
1,60,4,SIDE_GREEN,11,8.0,0.7272727272727273,8.0
1,70,4,SIDE_GREEN,17,35.0,2.0588235294117645,18.0
1,80,4,SIDE_GREEN,25,122.0,4.88,28.0
1,90,5,SIDE_YELLOW,31,264.0,8.516129032258064,38.0
1,100,0,MAIN_GREEN,21,53.0,2.5238095238095237,33.0
1,110,0,MAIN_GREEN,19,103.0,5.421052631578948,43.0
1,120,0,MAIN_GREEN,17,163.0,9.588235294117647,53.0
1,130,1,MAIN_YELLOW,21,229.0,10.904761904761905,63.0
1,140,3,TURN_YELLOW,24,197.0,8.208333333333334,46.0
1,150,4,SIDE_GREEN,29,101.0,3.4827586206896552,19.0
1,160,4,SIDE_GREEN,31,242.0,7.806451612903226,29.0
1,170,4,SIDE_GREEN,35,441.0,12.6,39.0
1,180,5,SIDE_YELLOW,43,697.0,16.209302325581394,49.0
1,190,0,MAIN_GREEN,29,182.0,6.275862068965517,53.0
1,200,0,MAIN_GREEN,22,265.0,12.045454545454545,63.0
1,210,0,MAIN_GREEN,20,368.0,18.4,73.0
1,220,1,MAIN_YELLOW,20,478.0,23.9,83.0
1,230,3,TURN_YELLOW,23,105.0,4.565217391304348,39.0
1,240,4,SIDE_GREEN,24,56.0,2.3333333333333335,11.0
1,250,4,SIDE_GREEN,30,213.0,7.1,21.0
1,260,4,SIDE_GREEN,39,413.0,10.58974358974359,31.0
1,270,5,SIDE_YELLOW,44,686.0,15.590909090909092,41.0
1,280,0,MAIN_GREEN,27,411.0,15.222222222222221,50.0
1,290,0,MAIN_GREEN,22,540.0,24.545454545454547,60.0
1,300,0,MAIN_GREEN,25,670.0,26.8,70.0
1,310,1,MAIN_YELLOW,24,805.0,33.541666666666664,80.0
1,320,3,TURN_YELLOW,26,152.0,5.846153846153846,60.0
1,330,4,SIDE_GREEN,32,84.0,2.625,13.0
1,340,4,SIDE_GREEN,34,263.0,7.735294117647059,23.0
1,350,4,SIDE_GREEN,39,525.0,13.461538461538462,33.0
1,360,5,SIDE_YELLOW,45,855.0,19.0,43.0
1,370,0,MAIN_GREEN,31,422.0,13.612903225806452,50.0
1,380,0,MAIN_GREEN,22,523.0,23.772727272727273,60.0
1,390,0,MAIN_GREEN,25,634.0,25.36,70.0
1,400,1,MAIN_YELLOW,26,757.0,29.115384615384617,80.0
1,410,3,TURN_YELLOW,24,107.0,4.458333333333333,75.0
1,420,4,SIDE_GREEN,32,95.0,2.96875,11.0
1,430,4,SIDE_GREEN,36,293.0,8.13888888888889,21.0
1,440,4,SIDE_GREEN,43,556.0,12.930232558139535,31.0
1,450,5,SIDE_YELLOW,51,878.0,17.215686274509803,41.0
1,460,0,MAIN_GREEN,37,424.0,11.45945945945946,49.0
1,470,0,MAIN_GREEN,29,559.0,19.275862068965516,59.0
1,480,0,MAIN_GREEN,29,714.0,24.620689655172413,69.0
1,490,1,MAIN_YELLOW,29,897.0,30.93103448275862,79.0
1,500,3,TURN_YELLOW,32,348.0,10.875,70.0
1,510,4,SIDE_GREEN,35,70.0,2.0,14.0
1,520,4,SIDE_GREEN,39,250.0,6.410256410256411,24.0
1,530,4,SIDE_GREEN,44,516.0,11.727272727272727,34.0
1,540,5,SIDE_YELLOW,49,841.0,17.163265306122447,44.0
1,550,0,MAIN_GREEN,35,420.0,12.0,49.0
1,560,0,MAIN_GREEN,28,547.0,19.535714285714285,59.0
1,570,0,MAIN_GREEN,29,695.0,23.96551724137931,69.0
1,580,1,MAIN_YELLOW,29,864.0,29.79310344827586,79.0
1,590,3,TURN_YELLOW,31,322.0,10.387096774193548,74.0
1,600,4,SIDE_GREEN,33,70.0,2.121212121212121,16.0
1,610,4,SIDE_GREEN,35,234.0,6.685714285714286,26.0
1,620,4,SIDE_GREEN,40,479.0,11.975,36.0
1,630,5,SIDE_YELLOW,47,760.0,16.170212765957448,46.0
1,640,0,MAIN_GREEN,32,509.0,15.90625,50.0
1,650,0,MAIN_GREEN,25,672.0,26.88,60.0
1,660,0,MAIN_GREEN,28,842.0,30.071428571428573,70.0
1,670,1,MAIN_YELLOW,29,1024.0,35.310344827586206,80.0
1,680,3,TURN_YELLOW,33,295.0,8.93939393939394,73.0
1,690,4,SIDE_GREEN,40,122.0,3.05,19.0
1,700,4,SIDE_GREEN,45,335.0,7.444444444444445,29.0
1,710,4,SIDE_GREEN,50,655.0,13.1,39.0
1,720,5,SIDE_YELLOW,55,1045.0,19.0,49.0
1,730,0,MAIN_GREEN,38,608.0,16.0,50.0
1,740,0,MAIN_GREEN,28,785.0,28.035714285714285,60.0
1,750,0,MAIN_GREEN,29,975.0,33.62068965517241,70.0
1,760,1,MAIN_YELLOW,31,1174.0,37.87096774193548,80.0
1,770,3,TURN_YELLOW,32,641.0,20.03125,76.0
1,780,4,SIDE_GREEN,38,146.0,3.8421052631578947,28.0
1,790,4,SIDE_GREEN,42,296.0,7.0476190476190474,28.0
1,800,4,SIDE_GREEN,49,612.0,12.489795918367347,38.0
1,810,5,SIDE_YELLOW,57,1004.0,17.614035087719298,48.0
1,820,0,MAIN_GREEN,42,719.0,17.11904761904762,52.0
1,830,0,MAIN_GREEN,35,938.0,26.8,62.0
1,840,0,MAIN_GREEN,35,1170.0,33.42857142857143,72.0
1,850,1,MAIN_YELLOW,39,1424.0,36.51282051282051,82.0
1,860,3,TURN_YELLOW,37,726.0,19.62162162162162,76.0
1,870,4,SIDE_GREEN,46,284.0,6.173913043478261,73.0
1,880,4,SIDE_GREEN,53,292.0,5.509433962264151,28.0
1,890,4,SIDE_GREEN,54,611.0,11.314814814814815,38.0
1,900,5,SIDE_YELLOW,58,1050.0,18.103448275862068,48.0
1,910,0,MAIN_GREEN,42,731.0,17.404761904761905,50.0
1,920,0,MAIN_GREEN,36,961.0,26.694444444444443,60.0
1,930,0,MAIN_GREEN,39,1191.0,30.53846153846154,70.0
1,940,1,MAIN_YELLOW,39,1422.0,36.46153846153846,80.0
1,950,3,TURN_YELLOW,38,926.0,24.36842105263158,75.0
1,960,4,SIDE_GREEN,41,427.0,10.414634146341463,71.0
1,970,4,SIDE_GREEN,49,293.0,5.979591836734694,26.0
