episode,run_episode,total_steps,reward,average_waiting_time,epsilon,average_loss,memory_size
1,1,12000,-17425.85600000003,15127.273996509599,0.05,9.146784182308483,1146
2,2,12000,-911.3,689.506726457399,0.05,4.299698746044005,2261
3,3,12000,-602.7540000000001,418.08392857142854,0.05,2.2597831962896247,3381
4,4,12000,-590.3440000000003,406.02680965147454,0.05,1.6051654594087303,4500
5,5,12000,-561.4090000000001,384.05436720142603,0.05,1.2114979131097463,5622
6,6,12000,-386.31599999999986,178.9281767955801,0.05,1.0118394382778233,6708
7,7,12000,-366.04200000000003,165.32782369146005,0.05,0.8473933976489103,7797
8,1,12000,-370.6949999999999,169.60055096418733,0.05,0.7350169297707968,8886
9,2,12000,-360.52700000000016,161.1818181818182,0.05,0.6544776359680763,9975
10,3,12000,-367.29399999999936,168.92208982584785,0.05,0.5710895770023672,11066
11,4,12000,-372.45899999999983,168.77552897884084,0.05,0.5459448222907152,12153
12,5,12000,-395.01599999999985,180.57037037037037,0.05,0.4866637435345048,13233
13,6,12000,-379.0709999999991,171.95483870967743,0.05,0.45928417870234095,14318
14,7,12000,-385.51200000000017,177.4304147465438,0.05,0.43663605502956815,15403
15,8,12000,-365.6740000000001,158.8321033210332,0.05,0.38216444067278965,16487
16,9,12000,-390.66500000000025,195.58447488584474,0.05,0.3850386115930736,17582
17,10,12000,-386.05699999999956,186.57836846929422,0.05,0.3536866082947302,18673
