episode,time,phase,phase_name,active_vehicle_count,total_waiting_time,average_waiting_time_per_vehicle,max_vehicle_waiting_time
1,10,0,GOBEK_PHASE_0_GREEN,0,0.0,0.0,0.0
1,20,0,GOBEK_PHASE_0_GREEN,1,0.0,0.0,0.0
1,30,0,GOBEK_PHASE_0_GREEN,4,10.0,2.5,10.0
1,40,1,GOBEK_PHASE_0_YELLOW,8,41.0,5.125,20.0
1,50,2,GOBEK_PHASE_2_GREEN,10,71.0,7.1,30.0
1,60,2,GOBEK_PHASE_2_GREEN,12,120.0,10.0,40.0
1,70,3,GOBEK_PHASE_2_YELLOW,21,195.0,9.285714285714286,50.0
1,80,4,GOBEK_PHASE_4_GREEN,24,157.0,6.541666666666667,30.0
1,90,4,GOBEK_PHASE_4_GREEN,29,320.0,11.03448275862069,40.0
1,100,5,GOBEK_PHASE_4_YELLOW,36,542.0,15.055555555555555,50.0
1,110,0,GOBEK_PHASE_0_GREEN,34,27.0,0.7941176470588235,11.0
1,120,0,GOBEK_PHASE_0_GREEN,19,71.0,3.736842105263158,21.0
1,130,0,GOBEK_PHASE_0_GREEN,17,139.0,8.176470588235293,31.0
1,140,1,GOBEK_PHASE_0_YELLOW,18,214.0,11.88888888888889,41.0
1,150,2,GOBEK_PHASE_2_GREEN,20,144.0,7.2,49.0
1,160,2,GOBEK_PHASE_2_GREEN,25,228.0,9.12,59.0
1,170,3,GOBEK_PHASE_2_YELLOW,29,395.0,13.620689655172415,69.0
1,180,4,GOBEK_PHASE_4_GREEN,33,454.0,13.757575757575758,40.0
1,190,4,GOBEK_PHASE_4_GREEN,38,696.0,18.31578947368421,50.0
1,200,5,GOBEK_PHASE_4_YELLOW,48,1011.0,21.0625,60.0
1,210,0,GOBEK_PHASE_0_GREEN,40,75.0,1.875,20.0
1,220,0,GOBEK_PHASE_0_GREEN,27,43.0,1.5925925925925926,15.0
1,230,0,GOBEK_PHASE_0_GREEN,23,99.0,4.304347826086956,25.0
1,240,1,GOBEK_PHASE_0_YELLOW,21,178.0,8.476190476190476,35.0
1,250,2,GOBEK_PHASE_2_GREEN,27,158.0,5.851851851851852,43.0
1,260,2,GOBEK_PHASE_2_GREEN,29,323.0,11.137931034482758,53.0
1,270,3,GOBEK_PHASE_2_YELLOW,38,563.0,14.81578947368421,63.0
1,280,4,GOBEK_PHASE_4_GREEN,40,512.0,12.8,39.0
1,290,4,GOBEK_PHASE_4_GREEN,42,808.0,19.238095238095237,49.0
1,300,5,GOBEK_PHASE_4_YELLOW,47,1176.0,25.02127659574468,59.0
1,310,0,GOBEK_PHASE_0_GREEN,35,39.0,1.1142857142857143,13.0
1,320,0,GOBEK_PHASE_0_GREEN,20,19.0,0.95,11.0
1,330,0,GOBEK_PHASE_0_GREEN,18,34.0,1.8888888888888888,21.0
1,340,1,GOBEK_PHASE_0_YELLOW,19,79.0,4.157894736842105,31.0
1,350,2,GOBEK_PHASE_2_GREEN,23,36.0,1.565217391304348,15.0
1,360,2,GOBEK_PHASE_2_GREEN,25,150.0,6.0,25.0
1,370,3,GOBEK_PHASE_2_YELLOW,29,333.0,11.482758620689655,35.0
1,380,4,GOBEK_PHASE_4_GREEN,34,510.0,15.0,37.0
1,390,4,GOBEK_PHASE_4_GREEN,37,781.0,21.10810810810811,47.0
1,400,5,GOBEK_PHASE_4_YELLOW,45,1098.0,24.4,57.0
1,410,0,GOBEK_PHASE_0_GREEN,37,65.0,1.7567567567567568,17.0
1,420,0,GOBEK_PHASE_0_GREEN,25,48.0,1.92,17.0
1,430,0,GOBEK_PHASE_0_GREEN,23,104.0,4.521739130434782,27.0
