episode,run_episode,total_steps,reward,average_waiting_time,epsilon,average_loss,memory_size
1,1,12000,-7874.023,6746.992214532872,0.05,2.8912302202479854,1156
2,2,12000,-340.34000000000003,197.64601769911505,0.05,1.496679205150731,2286
3,3,12000,-353.33699999999993,219.78665496049166,0.05,0.8201461007215142,3425
4,4,12000,-348.3999999999997,212.5,0.05,0.5744221689815725,4561
5,5,12000,-366.1029999999995,226.0819383259912,0.05,0.45336349114184865,5696
6,1,12000,-270.6459999999999,104.46793134598013,0.05,0.3825040342405694,6803
7,2,12000,-256.432,98.32165318957772,0.05,0.3205764186501617,7916
8,3,12000,-258.80599999999964,103.05745062836625,0.05,0.2859465619177128,9030
9,4,12000,-259.1019999999997,96.93873873873873,0.05,0.23952098194602037,10140
10,5,12000,-252.0559999999997,92.30963096309631,0.05,0.21671739906096926,11251
11,6,12000,-258.14599999999973,101.2093441150045,0.05,0.20752853409513522,12364
12,7,12000,-259.63799999999975,96.15689810640217,0.05,0.17929394313363514,13473
13,8,12000,-258.85899999999947,100.1429856115108,0.05,0.16745198329323535,14585
14,9,12000,-256.705,99.01617250673854,0.05,0.1522392337097513,15698
15,10,12000,-252.74099999999964,92.47614761476147,0.05,0.14338430592330872,16809
16,11,12000,-259.8569999999999,100.14118705035972,0.05,0.14090120347581883,17921
17,12,12000,-260.6699999999997,99.61296129612961,0.05,0.13724727048115296,19032
18,13,12000,-252.49599999999998,100.80286738351255,0.05,0.12665169237713134,20148
19,14,12000,-266.9029999999994,109.42818671454219,0.05,0.1161038700793828,21262
20,15,12000,-251.1709999999999,97.01434977578475,0.05,0.10830507213228921,22377
21,16,12000,-244.22299999999993,80.1472448057814,0.05,0.10545925131360408,23484
22,17,12000,-244.7529999999998,82.73489630297566,0.05,0.10476731904635392,24593
23,18,12000,-255.183,88.77305605786619,0.05,0.09785993872349324,25699
24,19,12000,-248.6260000000001,85.85379061371842,0.05,0.09153475433954505,26807
25,20,12000,-248.3489999999997,86.8009009009009,0.05,0.09871304135136139,27917
