episode,time,phase,phase_name,active_vehicle_count,total_waiting_time,average_waiting_time_per_vehicle,max_vehicle_waiting_time
1,10,0,MAIN_GREEN,0,0.0,0.0,0.0
1,20,0,MAIN_GREEN,3,0.0,0.0,0.0
1,30,0,MAIN_GREEN,6,2.0,0.3333333333333333,2.0
1,40,0,MAIN_GREEN,8,12.0,1.5,12.0
1,50,0,MAIN_GREEN,12,31.0,2.5833333333333335,22.0
1,60,0,MAIN_GREEN,13,56.0,4.3076923076923075,32.0
1,70,2,TURN_GREEN,13,42.0,3.230769230769231,42.0
1,80,3,TURN_YELLOW,13,75.0,5.769230769230769,52.0
1,90,4,SIDE_GREEN,20,66.0,3.3,20.0
1,100,4,SIDE_GREEN,24,168.0,7.0,30.0
1,110,5,SIDE_YELLOW,31,322.0,10.387096774193548,40.0
1,120,0,MAIN_GREEN,22,29.0,1.3181818181818181,14.0
1,130,0,MAIN_GREEN,14,71.0,5.071428571428571,24.0
1,140,0,MAIN_GREEN,13,121.0,9.307692307692308,34.0
1,150,0,MAIN_GREEN,14,178.0,12.714285714285714,44.0
1,160,0,MAIN_GREEN,15,238.0,15.866666666666667,54.0
1,170,0,MAIN_GREEN,16,311.0,19.4375,64.0
1,180,2,TURN_GREEN,16,152.0,9.5,62.0
1,190,3,TURN_YELLOW,16,200.0,12.5,72.0
1,200,4,SIDE_GREEN,18,68.0,3.7777777777777777,21.0
1,210,4,SIDE_GREEN,24,177.0,7.375,31.0
1,220,5,SIDE_YELLOW,31,332.0,10.709677419354838,41.0
1,230,0,MAIN_GREEN,25,22.0,0.88,10.0
1,240,0,MAIN_GREEN,14,63.0,4.5,20.0
1,250,0,MAIN_GREEN,17,117.0,6.882352941176471,30.0
1,260,0,MAIN_GREEN,14,189.0,13.5,40.0
1,270,0,MAIN_GREEN,18,277.0,15.38888888888889,50.0
1,280,0,MAIN_GREEN,18,385.0,21.38888888888889,60.0
1,290,2,TURN_GREEN,17,260.0,15.294117647058824,59.0
1,300,2,TURN_GREEN,18,335.0,18.61111111111111,69.0
1,310,4,SIDE_GREEN,22,123.0,5.590909090909091,40.0
1,320,4,SIDE_GREEN,23,149.0,6.478260869565218,24.0
1,330,4,SIDE_GREEN,29,292.0,10.068965517241379,34.0
1,340,0,MAIN_GREEN,25,43.0,1.72,27.0
1,350,0,MAIN_GREEN,15,75.0,5.0,37.0
1,360,0,MAIN_GREEN,13,126.0,9.692307692307692,47.0
1,370,0,MAIN_GREEN,12,186.0,15.5,57.0
1,380,0,MAIN_GREEN,13,246.0,18.923076923076923,67.0
1,390,0,MAIN_GREEN,11,306.0,27.818181818181817,77.0
1,400,2,TURN_GREEN,14,120.0,8.571428571428571,67.0
1,410,2,TURN_GREEN,15,161.0,10.733333333333333,77.0
1,420,4,SIDE_GREEN,17,79.0,4.647058823529412,21.0
1,430,4,SIDE_GREEN,25,170.0,6.8,31.0
1,440,4,SIDE_GREEN,30,326.0,10.866666666666667,41.0
1,450,0,MAIN_GREEN,26,38.0,1.4615384615384615,30.0
1,460,0,MAIN_GREEN,13,78.0,6.0,40.0
1,470,0,MAIN_GREEN,14,119.0,8.5,50.0
1,480,0,MAIN_GREEN,15,169.0,11.266666666666667,60.0
1,490,0,MAIN_GREEN,13,230.0,17.692307692307693,70.0
1,500,0,MAIN_GREEN,14,305.0,21.785714285714285,80.0
1,510,2,TURN_GREEN,15,167.0,11.133333333333333,60.0
1,520,2,TURN_GREEN,15,46.0,3.066666666666667,40.0
1,530,4,SIDE_GREEN,19,53.0,2.789473684210526,13.0
1,540,4,SIDE_GREEN,23,133.0,5.782608695652174,23.0
1,550,4,SIDE_GREEN,29,290.0,10.0,33.0
1,560,0,MAIN_GREEN,24,67.0,2.7916666666666665,21.0
1,570,0,MAIN_GREEN,17,92.0,5.411764705882353,31.0
1,580,0,MAIN_GREEN,14,132.0,9.428571428571429,41.0
1,590,0,MAIN_GREEN,16,183.0,11.4375,51.0
1,600,0,MAIN_GREEN,17,248.0,14.588235294117647,61.0
1,610,0,MAIN_GREEN,19,322.0,16.94736842105263,71.0
1,620,2,TURN_GREEN,17,249.0,14.647058823529411,79.0
1,630,2,TURN_GREEN,18,112.0,6.222222222222222,47.0
1,640,4,SIDE_GREEN,20,91.0,4.55,20.0
1,650,4,SIDE_GREEN,24,194.0,8.083333333333334,30.0
1,660,4,SIDE_GREEN,30,341.0,11.366666666666667,40.0
1,670,0,MAIN_GREEN,30,72.0,2.4,26.0
1,680,0,MAIN_GREEN,18,46.0,2.5555555555555554,36.0
1,690,0,MAIN_GREEN,18,83.0,4.611111111111111,46.0
1,700,0,MAIN_GREEN,20,160.0,8.0,56.0
1,710,0,MAIN_GREEN,18,252.0,14.0,66.0
1,720,0,MAIN_GREEN,21,352.0,16.761904761904763,76.0
1,730,2,TURN_GREEN,22,383.0,17.40909090909091,60.0
1,740,2,TURN_GREEN,21,184.0,8.761904761904763,53.0
1,750,4,SIDE_GREEN,23,232.0,10.08695652173913,61.0
1,760,4,SIDE_GREEN,24,174.0,7.25,28.0
1,770,4,SIDE_GREEN,29,334.0,11.517241379310345,38.0
1,780,0,MAIN_GREEN,33,146.0,4.424242424242424,31.0
1,790,0,MAIN_GREEN,19,87.0,4.578947368421052,41.0
1,800,0,MAIN_GREEN,15,127.0,8.466666666666667,51.0
1,810,0,MAIN_GREEN,16,173.0,10.8125,61.0
1,820,0,MAIN_GREEN,18,247.0,13.722222222222221,71.0
1,830,0,MAIN_GREEN,17,342.0,20.11764705882353,81.0
1,840,1,MAIN_YELLOW,21,444.0,21.142857142857142,91.0
1,850,2,TURN_GREEN,23,250.0,10.869565217391305,72.0
1,860,3,TURN_YELLOW,22,367.0,16.681818181818183,82.0
1,870,4,SIDE_GREEN,23,154.0,6.695652173913044,24.0
1,880,4,SIDE_GREEN,28,300.0,10.714285714285714,34.0
1,890,0,MAIN_GREEN,31,149.0,4.806451612903226,29.0
1,900,0,MAIN_GREEN,18,34.0,1.8888888888888888,16.0
1,910,0,MAIN_GREEN,12,64.0,5.333333333333333,26.0
1,920,0,MAIN_GREEN,14,99.0,7.071428571428571,36.0
1,930,0,MAIN_GREEN,20,154.0,7.7,46.0
1,940,0,MAIN_GREEN,18,227.0,12.61111111111111,56.0
1,950,1,MAIN_YELLOW,19,317.0,16.68421052631579,66.0
1,960,2,TURN_GREEN,19,157.0,8.263157894736842,67.0
1,970,3,TURN_YELLOW,20,267.0,13.35,77.0
1,980,4,SIDE_GREEN,24,132.0,5.5,27.0
1,990,4,SIDE_GREEN,25,253.0,10.12,37.0
1,1000,0,MAIN_GREEN,33,258.0,7.818181818181818,43.0
1,1010,0,MAIN_GREEN,18,18.0,1.0,8.0
1,1020,0,MAIN_GREEN,12,58.0,4.833333333333333,18.0
1,1030,0,MAIN_GREEN,15,98.0,6.533333333333333,28.0
1,1040,0,MAIN_GREEN,15,157.0,10.466666666666667,38.0
1,1050,0,MAIN_GREEN,19,233.0,12.263157894736842,48.0
1,1060,1,MAIN_YELLOW,17,313.0,18.41176470588235,58.0
1,1070,2,TURN_GREEN,13,259.0,19.923076923076923,65.0
1,1080,3,TURN_YELLOW,18,332.0,18.444444444444443,75.0
1,1090,4,SIDE_GREEN,23,88.0,3.8260869565217392,20.0
1,1100,4,SIDE_GREEN,22,201.0,9.136363636363637,30.0
1,1110,5,SIDE_YELLOW,28,384.0,13.714285714285714,40.0
1,1120,0,MAIN_GREEN,16,37.0,2.3125,25.0
1,1130,0,MAIN_GREEN,10,57.0,5.7,35.0
1,1140,0,MAIN_GREEN,13,77.0,5.923076923076923,45.0
1,1150,0,MAIN_GREEN,14,101.0,7.214285714285714,55.0
1,1160,0,MAIN_GREEN,13,148.0,11.384615384615385,65.0
1,1170,0,MAIN_GREEN,16,208.0,13.0,75.0
1,1180,2,TURN_GREEN,16,62.0,3.875,34.0
1,1190,3,TURN_YELLOW,14,114.0,8.142857142857142,44.0
1,1200,4,SIDE_GREEN,21,111.0,5.285714285714286,23.0
1,1210,4,SIDE_GREEN,26,227.0,8.73076923076923,33.0
1,1220,5,SIDE_YELLOW,31,408.0,13.161290322580646,43.0
1,1230,0,MAIN_GREEN,16,11.0,0.6875,11.0
1,1240,0,MAIN_GREEN,13,26.0,2.0,21.0
1,1250,0,MAIN_GREEN,15,60.0,4.0,31.0
1,1260,0,MAIN_GREEN,19,115.0,6.052631578947368,41.0
1,1270,0,MAIN_GREEN,17,190.0,11.176470588235293,51.0
1,1280,0,MAIN_GREEN,19,280.0,14.736842105263158,61.0
1,1290,2,TURN_GREEN,20,183.0,9.15,48.0
1,1300,3,TURN_YELLOW,20,273.0,13.65,58.0
1,1310,4,SIDE_GREEN,21,99.0,4.714285714285714,23.0
