episode,run_episode,total_steps,reward,average_waiting_time,epsilon,average_loss,memory_size
1,1,12000,-5922.549999999999,5098.468941382327,0.05,2.4200648673706584,1143
2,2,12000,-637.8229999999995,460.9398762157383,0.05,1.150934178622606,2274
3,1,12000,-614.5690000000008,451.85714285714283,0.05,0.6108438663060576,3415
4,2,12000,-560.618999999999,399.401055408971,0.05,0.4123426484322485,4552
5,3,12000,-534.573,379.88859649122804,0.05,0.3055940501506261,5692
6,4,12000,-403.599,244.5227070347284,0.05,0.2761822483690583,6815
7,5,12000,-380.28299999999945,218.75156389633602,0.05,0.22510151929447594,7934
8,6,12000,-377.77099999999956,213.31333930170098,0.05,0.2002242605511229,9051
9,7,12000,-368.6849999999996,202.14093357271096,0.05,0.17110146992861608,10165
10,8,12000,-381.37999999999954,218.39142091152814,0.05,0.15578035524629316,11284
11,9,12000,-345.47700000000003,174.3036036036036,0.05,0.16161772785372697,12394
12,10,12000,-343.99899999999974,174.77387387387387,0.05,0.13995751195276776,13504
13,11,12000,-349.8560000000001,179.6,0.05,0.12890132695335793,14614
14,12,12000,-337.785,172.31356693620845,0.05,0.11934206745715314,15727
15,13,12000,-341.8639999999999,175.23741007194243,0.05,0.11305298056644421,16839
16,14,12000,-350.2869999999996,187.08512544802866,0.05,0.1169962285421989,17955
17,15,12000,-343.6640000000003,178.3339317773788,0.05,0.10731407997818727,19069
18,16,12000,-350.98800000000034,185.3572710951526,0.05,0.09589236287092473,20183
19,17,12000,-346.81299999999953,184.86827956989248,0.05,0.09559517047588303,21299
20,18,12000,-337.1109999999997,177.80752014324082,0.05,0.09089526602199623,22416
21,19,12000,-333.29999999999984,163.0297565374211,0.05,0.09548516812204401,23525
22,20,12000,-329.37399999999974,155.85352622061484,0.05,0.09153907577158583,24631
