episode,time,phase,phase_name,active_vehicle_count,total_waiting_time,average_waiting_time_per_vehicle,max_vehicle_waiting_time
1,10,0,MAIN_GREEN,0,0.0,0.0,0.0
1,20,0,MAIN_GREEN,5,0.0,0.0,0.0
1,30,0,MAIN_GREEN,11,0.0,0.0,0.0
1,40,0,MAIN_GREEN,16,21.0,1.3125,7.0
1,50,0,MAIN_GREEN,19,90.0,4.7368421052631575,17.0
1,60,0,MAIN_GREEN,26,211.0,8.115384615384615,27.0
1,70,2,TURN_GREEN,27,163.0,6.037037037037037,34.0
1,80,4,SIDE_GREEN,31,260.0,8.387096774193548,43.0
1,90,4,SIDE_GREEN,35,199.0,5.685714285714286,25.0
1,100,4,SIDE_GREEN,36,408.0,11.333333333333334,35.0
1,110,0,MAIN_GREEN,34,282.0,8.294117647058824,28.0
1,120,0,MAIN_GREEN,26,142.0,5.461538461538462,37.0
1,130,0,MAIN_GREEN,20,202.0,10.1,47.0
1,140,0,MAIN_GREEN,20,270.0,13.5,57.0
1,150,0,MAIN_GREEN,29,358.0,12.344827586206897,67.0
1,160,0,MAIN_GREEN,29,464.0,16.0,77.0
1,170,1,MAIN_YELLOW,28,601.0,21.464285714285715,87.0
1,180,2,TURN_GREEN,22,104.0,4.7272727272727275,38.0
1,190,4,SIDE_GREEN,29,50.0,1.7241379310344827,18.0
1,200,4,SIDE_GREEN,38,201.0,5.2894736842105265,28.0
1,210,4,SIDE_GREEN,43,448.0,10.418604651162791,38.0
1,220,0,MAIN_GREEN,40,190.0,4.75,35.0
1,230,0,MAIN_GREEN,24,243.0,10.125,45.0
1,240,0,MAIN_GREEN,22,343.0,15.590909090909092,55.0
1,250,0,MAIN_GREEN,29,459.0,15.827586206896552,65.0
1,260,0,MAIN_GREEN,22,579.0,26.318181818181817,75.0
1,270,0,MAIN_GREEN,30,725.0,24.166666666666668,85.0
1,280,2,TURN_GREEN,27,605.0,22.40740740740741,90.0
1,290,3,TURN_YELLOW,32,281.0,8.78125,74.0
1,300,4,SIDE_GREEN,39,71.0,1.8205128205128205,12.0
1,310,4,SIDE_GREEN,42,277.0,6.595238095238095,22.0
1,320,5,SIDE_YELLOW,53,594.0,11.20754716981132,32.0
1,330,0,MAIN_GREEN,42,326.0,7.761904761904762,38.0
