episode,run_episode,total_steps,reward,average_waiting_time,epsilon,average_loss,memory_size
1,1,12000,-13532.171999999993,11710.51567944251,0.05,5.76917656956103,1148
2,2,12000,-2029.0759999999982,1692.4481175390267,0.05,2.8778252949727796,2237
3,3,12000,-856.7809999999992,634.7301444043321,0.05,1.6945430158439097,3345
4,4,12000,-789.4059999999989,570.4394213381555,0.05,1.197743496535915,4451
5,5,12000,-731.3470000000007,520.1869918699186,0.05,0.9303607933674186,5558
6,6,12000,-518.0899999999997,269.3879472693032,0.05,0.7896406952775804,6620
7,7,12000,-457.1130000000007,221.07958801498128,0.05,0.6607708691964659,7688
8,8,12000,-488.7910000000006,252.844714686623,0.05,0.5653522270474621,8757
9,9,12000,-459.6539999999997,229.87325256290774,0.05,0.5040645156218866,9830
10,10,12000,-464.28400000000016,236.2979515828678,0.05,0.44818558473160813,10904
11,11,12000,-462.60200000000043,233.08667287977633,0.05,0.42801488680419586,11977
12,12,12000,-465.15500000000003,235.0,0.05,0.388046120639755,13050
13,13,12000,-461.13500000000016,232.43482309124767,0.05,0.3559606474446171,14124
14,14,12000,-461.7910000000001,235.86524163568774,0.05,0.3362919435616527,15200
15,15,12000,-467.6200000000001,244.54545454545453,0.05,0.30532020034012775,16278
16,16,12000,-472.849,240.75536881419234,0.05,0.3019383571299365,17349
17,17,12000,-471.2549999999997,238.8001867413632,0.05,0.2641899443999364,18420
18,18,12000,-462.83200000000005,232.3690587138863,0.05,0.26090999656571257,19493
19,19,12000,-450.429,221.01585820895522,0.05,0.24524811699677176,20565
20,20,12000,-464.68099999999976,233.84421641791045,0.05,0.23099403410503613,21637
