episode,time,phase,phase_name,active_vehicle_count,total_waiting_time,average_waiting_time_per_vehicle,max_vehicle_waiting_time
1,10,0,MAIN_GREEN,0,0.0,0.0,0.0
1,20,0,MAIN_GREEN,5,0.0,0.0,0.0
1,30,0,MAIN_GREEN,11,3.0,0.2727272727272727,3.0
1,40,0,MAIN_GREEN,15,31.0,2.066666666666667,13.0
1,50,0,MAIN_GREEN,16,78.0,4.875,23.0
1,60,0,MAIN_GREEN,16,137.0,8.5625,33.0
1,70,2,TURN_GREEN,12,84.0,7.0,43.0
1,80,3,TURN_YELLOW,14,128.0,9.142857142857142,53.0
1,90,4,SIDE_GREEN,18,61.0,3.388888888888889,21.0
1,100,4,SIDE_GREEN,22,162.0,7.363636363636363,31.0
1,110,5,SIDE_YELLOW,27,311.0,11.518518518518519,41.0
1,120,0,MAIN_GREEN,19,58.0,3.0526315789473686,31.0
1,130,0,MAIN_GREEN,18,88.0,4.888888888888889,41.0
1,140,0,MAIN_GREEN,16,132.0,8.25,51.0
1,150,0,MAIN_GREEN,18,202.0,11.222222222222221,61.0
1,160,0,MAIN_GREEN,19,283.0,14.894736842105264,71.0
1,170,0,MAIN_GREEN,19,375.0,19.736842105263158,81.0
1,180,2,TURN_GREEN,18,129.0,7.166666666666667,49.0
1,190,3,TURN_YELLOW,20,206.0,10.3,59.0
1,200,4,SIDE_GREEN,22,87.0,3.9545454545454546,19.0
1,210,4,SIDE_GREEN,25,201.0,8.04,29.0
1,220,5,SIDE_YELLOW,33,366.0,11.090909090909092,39.0
1,230,0,MAIN_GREEN,23,30.0,1.3043478260869565,29.0
1,240,0,MAIN_GREEN,12,56.0,4.666666666666667,39.0
1,250,0,MAIN_GREEN,16,95.0,5.9375,49.0
1,260,0,MAIN_GREEN,17,150.0,8.823529411764707,59.0
1,270,0,MAIN_GREEN,18,233.0,12.944444444444445,69.0
1,280,0,MAIN_GREEN,20,341.0,17.05,79.0
1,290,2,TURN_GREEN,18,79.0,4.388888888888889,27.0
1,300,2,TURN_GREEN,13,41.0,3.1538461538461537,34.0
1,310,4,SIDE_GREEN,17,50.0,2.9411764705882355,17.0
1,320,4,SIDE_GREEN,21,151.0,7.190476190476191,27.0
1,330,4,SIDE_GREEN,26,293.0,11.26923076923077,37.0
