episode,run_episode,total_steps,reward,average_waiting_time,epsilon,average_loss,memory_size
1,1,12000,-6216.169000000002,5355.353455818023,0.05,2.680691377984153,1143
2,2,12000,-666.4939999999999,491.18414096916297,0.05,1.2358472462267602,2278
3,3,12000,-581.6530000000004,416.43436123348016,0.05,0.6810208212567846,3413
4,4,12000,-547.0429999999994,382.1051236749117,0.05,0.49886911813920043,4545
5,5,12000,-517.2839999999997,353.2187776793623,0.05,0.3796223948096759,5674
6,1,12000,-343.2920000000002,162.69691470054445,0.05,0.3329434579917772,6776
7,2,12000,-350.0059999999999,169.54306436990026,0.05,0.27598347802792533,7879
8,3,12000,-367.248,185.62828649138712,0.05,0.2351620205418829,8982
9,4,12000,-338.67399999999986,167.8755635707845,0.05,0.2108057932054827,10091
10,5,12000,-352.73199999999963,170.35571687840292,0.05,0.1933341336313182,11193
11,6,12000,-328.54400000000015,141.007299270073,0.05,0.17528398189673294,12289
12,7,12000,-333.8729999999998,148.3360655737705,0.05,0.16113754327515842,13387
13,8,12000,-340.5569999999996,155.3342440801457,0.05,0.15202440696943192,14485
14,9,12000,-331.0619999999998,147.91810737033666,0.05,0.13891315013102448,15584
15,10,12000,-327.8140000000002,143.27322404371586,0.05,0.13241378214627586,16682
16,1,12000,-363.0690000000001,187.05420054200542,0.05,0.12498041334567893,17789
17,2,12000,-348.72699999999963,172.4475587703436,0.05,0.1285378703827318,18895
18,3,12000,-364.78399999999954,185.32488687782805,0.05,0.11929586234574134,20000
19,4,12000,-358.5509999999997,181.041628959276,0.05,0.11205391502977091,21105
20,5,12000,-377.6289999999995,201.37996389891697,0.05,0.10362262924585075,22213
