episode,time,phase,phase_name,active_vehicle_count,total_waiting_time,average_waiting_time_per_vehicle,max_vehicle_waiting_time
1,10,0,GOBEK_PHASE_0_GREEN,0,0.0,0.0,0.0
1,20,0,GOBEK_PHASE_0_GREEN,3,0.0,0.0,0.0
1,30,0,GOBEK_PHASE_0_GREEN,8,0.0,0.0,0.0
1,40,0,GOBEK_PHASE_0_GREEN,9,0.0,0.0,0.0
1,50,0,GOBEK_PHASE_0_GREEN,12,0.0,0.0,0.0
1,60,0,GOBEK_PHASE_0_GREEN,15,20.0,1.3333333333333333,9.0
1,70,2,GOBEK_PHASE_2_GREEN,14,51.0,3.642857142857143,17.0
1,80,2,GOBEK_PHASE_2_GREEN,17,150.0,8.823529411764707,27.0
1,90,4,GOBEK_PHASE_4_GREEN,21,178.0,8.476190476190476,25.0
1,100,4,GOBEK_PHASE_4_GREEN,22,309.0,14.045454545454545,35.0
1,110,4,GOBEK_PHASE_4_GREEN,31,485.0,15.64516129032258,45.0
1,120,0,GOBEK_PHASE_0_GREEN,36,223.0,6.194444444444445,36.0
1,130,0,GOBEK_PHASE_0_GREEN,28,96.0,3.4285714285714284,18.0
1,140,0,GOBEK_PHASE_0_GREEN,25,94.0,3.76,22.0
1,150,0,GOBEK_PHASE_0_GREEN,26,151.0,5.8076923076923075,32.0
1,160,0,GOBEK_PHASE_0_GREEN,25,211.0,8.44,42.0
1,170,0,GOBEK_PHASE_0_GREEN,20,278.0,13.9,52.0
1,180,1,GOBEK_PHASE_0_YELLOW,23,242.0,10.521739130434783,62.0
1,190,2,GOBEK_PHASE_2_GREEN,26,229.0,8.807692307692308,72.0
1,200,3,GOBEK_PHASE_2_YELLOW,34,406.0,11.941176470588236,82.0
1,210,4,GOBEK_PHASE_4_GREEN,37,311.0,8.405405405405405,29.0
1,220,4,GOBEK_PHASE_4_GREEN,34,544.0,16.0,39.0
1,230,5,GOBEK_PHASE_4_YELLOW,38,834.0,21.94736842105263,49.0
1,240,0,GOBEK_PHASE_0_GREEN,34,218.0,6.411764705882353,31.0
1,250,0,GOBEK_PHASE_0_GREEN,28,99.0,3.5357142857142856,18.0
1,260,0,GOBEK_PHASE_0_GREEN,22,47.0,2.1363636363636362,20.0
1,270,0,GOBEK_PHASE_0_GREEN,20,69.0,3.45,30.0
1,280,0,GOBEK_PHASE_0_GREEN,19,99.0,5.2105263157894735,40.0
1,290,0,GOBEK_PHASE_0_GREEN,18,132.0,7.333333333333333,50.0
1,300,2,GOBEK_PHASE_2_GREEN,22,70.0,3.1818181818181817,40.0
1,310,2,GOBEK_PHASE_2_GREEN,24,185.0,7.708333333333333,50.0
1,320,4,GOBEK_PHASE_4_GREEN,32,257.0,8.03125,27.0
1,330,4,GOBEK_PHASE_4_GREEN,36,461.0,12.805555555555555,37.0
1,340,4,GOBEK_PHASE_4_GREEN,42,728.0,17.333333333333332,47.0
