episode,time,phase,phase_name,active_vehicle_count,total_waiting_time,average_waiting_time_per_vehicle,max_vehicle_waiting_time
1,10,0,GOBEK_PHASE_0_GREEN,0,0.0,0.0,0.0
1,20,0,GOBEK_PHASE_0_GREEN,4,0.0,0.0,0.0
1,30,0,GOBEK_PHASE_0_GREEN,8,11.0,1.375,6.0
1,40,0,GOBEK_PHASE_0_GREEN,12,41.0,3.4166666666666665,16.0
1,50,2,GOBEK_PHASE_2_GREEN,17,86.0,5.0588235294117645,26.0
1,60,4,GOBEK_PHASE_4_GREEN,24,76.0,3.1666666666666665,18.0
1,70,4,GOBEK_PHASE_4_GREEN,29,202.0,6.9655172413793105,28.0
1,80,4,GOBEK_PHASE_4_GREEN,35,407.0,11.628571428571428,38.0
1,90,4,GOBEK_PHASE_4_GREEN,40,684.0,17.1,48.0
1,100,5,GOBEK_PHASE_4_YELLOW,46,1018.0,22.130434782608695,58.0
1,110,0,GOBEK_PHASE_0_GREEN,47,472.0,10.042553191489361,39.0
1,120,0,GOBEK_PHASE_0_GREEN,46,135.0,2.9347826086956523,18.0
1,130,0,GOBEK_PHASE_0_GREEN,43,78.0,1.813953488372093,21.0
1,140,0,GOBEK_PHASE_0_GREEN,38,133.0,3.5,31.0
1,150,2,GOBEK_PHASE_2_GREEN,40,112.0,2.8,39.0
1,160,4,GOBEK_PHASE_4_GREEN,46,140.0,3.0434782608695654,16.0
1,170,4,GOBEK_PHASE_4_GREEN,52,395.0,7.596153846153846,26.0
1,180,4,GOBEK_PHASE_4_GREEN,56,780.0,13.928571428571429,36.0
1,190,4,GOBEK_PHASE_4_GREEN,60,1276.0,21.266666666666666,46.0
1,200,5,GOBEK_PHASE_4_YELLOW,67,1857.0,27.71641791044776,56.0
1,210,0,GOBEK_PHASE_0_GREEN,70,1454.0,20.771428571428572,52.0
1,220,0,GOBEK_PHASE_0_GREEN,64,101.0,1.578125,17.0
1,230,0,GOBEK_PHASE_0_GREEN,61,47.0,0.7704918032786885,18.0
1,240,0,GOBEK_PHASE_0_GREEN,55,83.0,1.509090909090909,28.0
1,250,2,GOBEK_PHASE_2_GREEN,56,63.0,1.125,33.0
1,260,4,GOBEK_PHASE_4_GREEN,58,139.0,2.396551724137931,14.0
1,270,4,GOBEK_PHASE_4_GREEN,65,392.0,6.030769230769231,24.0
1,280,4,GOBEK_PHASE_4_GREEN,72,805.0,11.180555555555555,34.0
1,290,4,GOBEK_PHASE_4_GREEN,79,1360.0,17.21518987341772,44.0
1,300,5,GOBEK_PHASE_4_YELLOW,84,2050.0,24.404761904761905,54.0
1,310,0,GOBEK_PHASE_0_GREEN,80,1870.0,23.375,52.0
1,320,0,GOBEK_PHASE_0_GREEN,77,22.0,0.2857142857142857,7.0
1,330,0,GOBEK_PHASE_0_GREEN,75,59.0,0.7866666666666666,17.0
1,340,0,GOBEK_PHASE_0_GREEN,77,132.0,1.7142857142857142,27.0
1,350,2,GOBEK_PHASE_2_GREEN,74,201.0,2.7162162162162162,33.0
1,360,4,GOBEK_PHASE_4_GREEN,77,243.0,3.155844155844156,36.0
1,370,4,GOBEK_PHASE_4_GREEN,83,322.0,3.8795180722891565,22.0
1,380,4,GOBEK_PHASE_4_GREEN,84,601.0,7.154761904761905,32.0
1,390,4,GOBEK_PHASE_4_GREEN,85,1021.0,12.011764705882353,42.0
1,400,5,GOBEK_PHASE_4_YELLOW,88,1617.0,18.375,52.0
1,410,0,GOBEK_PHASE_0_GREEN,85,1540.0,18.11764705882353,50.0
1,420,0,GOBEK_PHASE_0_GREEN,78,8.0,0.10256410256410256,4.0
1,430,0,GOBEK_PHASE_0_GREEN,84,30.0,0.35714285714285715,11.0
1,440,0,GOBEK_PHASE_0_GREEN,95,64.0,0.6736842105263158,21.0
1,450,2,GOBEK_PHASE_2_GREEN,96,96.0,1.0,27.0
1,460,3,GOBEK_PHASE_2_YELLOW,100,322.0,3.22,24.0
1,470,4,GOBEK_PHASE_4_GREEN,99,654.0,6.606060606060606,24.0
1,480,4,GOBEK_PHASE_4_GREEN,106,1059.0,9.99056603773585,34.0
1,490,4,GOBEK_PHASE_4_GREEN,112,1132.0,10.107142857142858,44.0
1,500,4,GOBEK_PHASE_4_GREEN,115,1394.0,12.121739130434783,54.0
1,510,0,GOBEK_PHASE_0_GREEN,114,961.0,8.429824561403509,58.0
1,520,0,GOBEK_PHASE_0_GREEN,109,588.0,5.394495412844036,31.0
1,530,0,GOBEK_PHASE_0_GREEN,107,126.0,1.1775700934579438,25.0
1,540,0,GOBEK_PHASE_0_GREEN,107,161.0,1.5046728971962617,35.0
1,550,1,GOBEK_PHASE_0_YELLOW,111,167.0,1.5045045045045045,45.0
1,560,3,GOBEK_PHASE_2_YELLOW,111,306.0,2.7567567567567566,55.0
1,570,4,GOBEK_PHASE_4_GREEN,114,434.0,3.807017543859649,22.0
1,580,4,GOBEK_PHASE_4_GREEN,116,887.0,7.646551724137931,32.0
1,590,4,GOBEK_PHASE_4_GREEN,122,1480.0,12.131147540983607,42.0
1,600,4,GOBEK_PHASE_4_GREEN,129,2212.0,17.147286821705425,52.0
1,610,0,GOBEK_PHASE_0_GREEN,127,2431.0,19.141732283464567,54.0
1,620,0,GOBEK_PHASE_0_GREEN,117,1893.0,16.17948717948718,49.0
1,630,0,GOBEK_PHASE_0_GREEN,115,794.0,6.904347826086957,46.0
1,640,0,GOBEK_PHASE_0_GREEN,116,461.0,3.9741379310344827,46.0
1,650,1,GOBEK_PHASE_0_YELLOW,119,307.0,2.5798319327731094,30.0
1,660,3,GOBEK_PHASE_2_YELLOW,123,253.0,2.0569105691056913,15.0
1,670,4,GOBEK_PHASE_4_GREEN,127,384.0,3.0236220472440944,21.0
1,680,4,GOBEK_PHASE_4_GREEN,129,729.0,5.651162790697675,31.0
1,690,4,GOBEK_PHASE_4_GREEN,133,1359.0,10.218045112781954,41.0
1,700,4,GOBEK_PHASE_4_GREEN,134,1980.0,14.776119402985074,51.0
1,710,0,GOBEK_PHASE_0_GREEN,132,1899.0,14.386363636363637,45.0
1,720,0,GOBEK_PHASE_0_GREEN,125,961.0,7.688,50.0
1,730,0,GOBEK_PHASE_0_GREEN,120,274.0,2.283333333333333,22.0
1,740,0,GOBEK_PHASE_0_GREEN,121,243.0,2.0082644628099175,25.0
1,750,1,GOBEK_PHASE_0_YELLOW,120,287.0,2.3916666666666666,35.0
1,760,3,GOBEK_PHASE_2_YELLOW,118,204.0,1.728813559322034,41.0
1,770,4,GOBEK_PHASE_4_GREEN,123,383.0,3.113821138211382,19.0
1,780,4,GOBEK_PHASE_4_GREEN,128,835.0,6.5234375,29.0
1,790,4,GOBEK_PHASE_4_GREEN,131,1219.0,9.305343511450381,39.0
1,800,4,GOBEK_PHASE_4_GREEN,136,1764.0,12.970588235294118,49.0
1,810,0,GOBEK_PHASE_0_GREEN,134,2109.0,15.738805970149254,55.0
