episode,run_episode,total_steps,reward,average_waiting_time,epsilon,average_loss,memory_size
1,1,12000,-14666.430999999999,12719.398778359511,0.05,8.41448571081875,1146
2,2,12000,-826.922999999999,599.8392370572207,0.05,3.5100717817405265,2247
3,3,12000,-1099.8390000000002,864.9501335707926,0.05,1.6756960209840552,3370
4,4,12000,-1683.3869999999974,1385.334813499112,0.05,1.318646198055884,4496
5,5,12000,-1297.360000000002,1040.7644444444445,0.05,1.0531427041159735,5621
6,6,12000,-611.8429999999998,395.4606227106227,0.05,0.9537055617532669,6713
7,7,12000,-667.6399999999993,465.8918918918919,0.05,0.7638366735062083,7823
8,8,12000,-721.5939999999997,527.6883348174532,0.05,0.6804101720372694,8946
9,9,12000,-992.2589999999991,770.8968888888888,0.05,0.5901457494795322,10071
10,10,12000,-1019.7180000000005,795.3048888888889,0.05,0.5577206230097347,11196
11,11,12000,-633.2949999999994,407.73020257826886,0.05,0.5951225686248934,12282
12,12,12000,-723.2839999999994,490.1325966850829,0.05,0.4989126250525151,13368
13,13,12000,-669.7470000000002,445.13039485766757,0.05,0.46760118463657335,14457
14,14,12000,-792.149000000001,563.9462169553327,0.05,0.4436207480640333,15554
15,15,12000,-804.9100000000002,578.6260236578707,0.05,0.4041229631172136,16653
16,16,12000,-657.2549999999999,465.3443649373882,0.05,0.4126770964328846,17771
17,17,12000,-658.2399999999999,457.8738738738739,0.05,0.3912170319641764,18881
18,18,12000,-849.4949999999999,644.7557726465365,0.05,0.37632408187282973,20007
19,19,12000,-665.8310000000002,480.3117229129663,0.05,0.3579140269391067,21133
20,20,12000,-693.0350000000008,502.7025823686554,0.05,0.34087916545549996,22256
