episode,time,phase,phase_name,active_vehicle_count,total_waiting_time,average_waiting_time_per_vehicle,max_vehicle_waiting_time
1,10,0,MAIN_GREEN,1,0.0,0.0,0.0
1,20,0,MAIN_GREEN,4,0.0,0.0,0.0
1,30,0,MAIN_GREEN,9,0.0,0.0,0.0
1,40,0,MAIN_GREEN,15,10.0,0.6666666666666666,9.0
1,50,0,MAIN_GREEN,15,35.0,2.3333333333333335,19.0
1,60,0,MAIN_GREEN,21,89.0,4.238095238095238,29.0
1,70,2,TURN_GREEN,23,102.0,4.434782608695652,39.0
1,80,2,TURN_GREEN,25,173.0,6.92,49.0
1,90,4,SIDE_GREEN,22,84.0,3.8181818181818183,23.0
1,100,4,SIDE_GREEN,25,193.0,7.72,33.0
1,110,4,SIDE_GREEN,29,349.0,12.03448275862069,43.0
1,120,0,MAIN_GREEN,25,37.0,1.48,30.0
1,130,0,MAIN_GREEN,19,71.0,3.736842105263158,40.0
1,140,0,MAIN_GREEN,18,138.0,7.666666666666667,50.0
1,150,0,MAIN_GREEN,20,229.0,11.45,60.0
1,160,0,MAIN_GREEN,25,342.0,13.68,70.0
1,170,0,MAIN_GREEN,28,478.0,17.071428571428573,80.0
1,180,1,MAIN_YELLOW,28,639.0,22.821428571428573,90.0
1,190,2,TURN_GREEN,28,311.0,11.107142857142858,65.0
1,200,3,TURN_YELLOW,29,369.0,12.724137931034482,75.0
1,210,4,SIDE_GREEN,33,120.0,3.6363636363636362,24.0
1,220,4,SIDE_GREEN,32,265.0,8.28125,34.0
1,230,5,SIDE_YELLOW,34,439.0,12.911764705882353,44.0
1,240,0,MAIN_GREEN,26,293.0,11.26923076923077,41.0
1,250,0,MAIN_GREEN,30,427.0,14.233333333333333,51.0
1,260,0,MAIN_GREEN,32,585.0,18.28125,61.0
1,270,0,MAIN_GREEN,32,780.0,24.375,71.0
1,280,0,MAIN_GREEN,36,1014.0,28.166666666666668,81.0
1,290,0,MAIN_GREEN,37,1110.0,30.0,91.0
1,300,2,TURN_GREEN,40,874.0,21.85,91.0
1,310,2,TURN_GREEN,40,516.0,12.9,76.0
