episode,time,phase,phase_name,active_vehicle_count,total_waiting_time,average_waiting_time_per_vehicle,max_vehicle_waiting_time
1,10,0,GOBEK_PHASE_0_GREEN,0,0.0,0.0,0.0
1,20,0,GOBEK_PHASE_0_GREEN,1,0.0,0.0,0.0
1,30,0,GOBEK_PHASE_0_GREEN,5,0.0,0.0,0.0
1,40,1,GOBEK_PHASE_0_YELLOW,8,0.0,0.0,0.0
1,50,2,GOBEK_PHASE_2_GREEN,13,25.0,1.9230769230769231,8.0
1,60,3,GOBEK_PHASE_2_YELLOW,22,92.0,4.181818181818182,18.0
1,70,4,GOBEK_PHASE_4_GREEN,30,176.0,5.866666666666666,28.0
1,80,4,GOBEK_PHASE_4_GREEN,33,341.0,10.333333333333334,38.0
1,90,0,GOBEK_PHASE_0_GREEN,35,13.0,0.37142857142857144,6.0
1,100,0,GOBEK_PHASE_0_GREEN,34,14.0,0.4117647058823529,9.0
1,110,0,GOBEK_PHASE_0_GREEN,24,67.0,2.7916666666666665,19.0
1,120,0,GOBEK_PHASE_0_GREEN,19,148.0,7.7894736842105265,29.0
1,130,2,GOBEK_PHASE_2_GREEN,17,96.0,5.647058823529412,39.0
1,140,2,GOBEK_PHASE_2_GREEN,19,83.0,4.368421052631579,49.0
1,150,4,GOBEK_PHASE_4_GREEN,24,131.0,5.458333333333333,23.0
1,160,4,GOBEK_PHASE_4_GREEN,29,277.0,9.551724137931034,33.0
1,170,5,GOBEK_PHASE_4_YELLOW,32,482.0,15.0625,43.0
1,180,0,GOBEK_PHASE_0_GREEN,37,0.0,0.0,0.0
1,190,0,GOBEK_PHASE_0_GREEN,28,22.0,0.7857142857142857,9.0
1,200,0,GOBEK_PHASE_0_GREEN,23,63.0,2.739130434782609,19.0
1,210,1,GOBEK_PHASE_0_YELLOW,22,125.0,5.681818181818182,29.0
1,220,2,GOBEK_PHASE_2_GREEN,21,60.0,2.857142857142857,22.0
1,230,3,GOBEK_PHASE_2_YELLOW,23,170.0,7.391304347826087,32.0
1,240,4,GOBEK_PHASE_4_GREEN,29,225.0,7.758620689655173,29.0
1,250,4,GOBEK_PHASE_4_GREEN,33,419.0,12.696969696969697,39.0
1,260,0,GOBEK_PHASE_0_GREEN,34,26.0,0.7647058823529411,12.0
1,270,0,GOBEK_PHASE_0_GREEN,33,14.0,0.42424242424242425,8.0
1,280,0,GOBEK_PHASE_0_GREEN,24,70.0,2.9166666666666665,18.0
1,290,0,GOBEK_PHASE_0_GREEN,24,174.0,7.25,28.0
1,300,2,GOBEK_PHASE_2_GREEN,22,138.0,6.2727272727272725,38.0
1,310,2,GOBEK_PHASE_2_GREEN,23,155.0,6.739130434782608,48.0
1,320,4,GOBEK_PHASE_4_GREEN,24,169.0,7.041666666666667,27.0
1,330,4,GOBEK_PHASE_4_GREEN,33,332.0,10.06060606060606,37.0
1,340,5,GOBEK_PHASE_4_YELLOW,33,552.0,16.727272727272727,47.0
1,350,0,GOBEK_PHASE_0_GREEN,38,0.0,0.0,0.0
1,360,0,GOBEK_PHASE_0_GREEN,29,27.0,0.9310344827586207,9.0
1,370,0,GOBEK_PHASE_0_GREEN,23,105.0,4.565217391304348,19.0
1,380,1,GOBEK_PHASE_0_YELLOW,20,198.0,9.9,29.0
1,390,2,GOBEK_PHASE_2_GREEN,20,60.0,3.0,31.0
1,400,3,GOBEK_PHASE_2_YELLOW,23,128.0,5.565217391304348,41.0
1,410,4,GOBEK_PHASE_4_GREEN,24,209.0,8.708333333333334,27.0
1,420,4,GOBEK_PHASE_4_GREEN,29,389.0,13.413793103448276,37.0
