episode,run_episode,total_steps,reward,average_waiting_time,epsilon,average_loss,memory_size
1,1,12000,-23284.482999999975,20174.767826086958,0.05,12.224023957915653,1150
2,2,12000,-26098.118999999995,23201.17873100983,0.05,7.809055608335194,2269
3,3,12000,-3706.753,3218.6105550500456,0.05,6.2396109648679365,3368
4,4,12000,-2580.436000000002,2188.681081081081,0.05,4.5637756394910385,4478
5,5,12000,-365.9499999999999,201.12007168458783,0.05,3.6046887663957468,5594
6,6,12000,-287.9879999999997,108.72429481346678,0.05,3.133232930663285,6693
7,7,12000,-273.758,95.7761601455869,0.05,2.526708119125991,7792
8,8,12000,-276.9589999999998,91.37020109689215,0.05,2.1380152907733287,8886
9,9,12000,-280.496,100.99727024567788,0.05,1.9253921093888668,9985
10,10,12000,-281.2630000000001,97.04383561643836,0.05,1.7106917367950423,11080
11,1,12000,-284.1579999999997,115.77055103884372,0.05,1.6958265523169638,12187
12,2,12000,-279.3199999999996,108.07971014492753,0.05,1.463879097469043,13291
13,3,12000,-291.77099999999973,119.35778985507247,0.05,1.3492941566324537,14395
14,4,12000,-289.5429999999996,119.38788426763111,0.05,1.2614375038803378,15501
15,5,12000,-285.5749999999998,116.1472448057814,0.05,1.1720101548646524,16608
16,6,12000,-279.6219999999997,92.51784080512351,0.05,1.1557095082210886,17701
17,7,12000,-276.74800000000005,89.88838060384263,0.05,1.0634923087874357,18794
18,8,12000,-272.7739999999995,87.08775137111517,0.05,1.0008531167177004,19888
19,9,12000,-286.09099999999995,94.12018348623853,0.05,0.9257935994808827,20978
20,10,12000,-278.9809999999997,90.55901189387008,0.05,0.9115637340953562,22071
21,1,12000,-271.1850000000004,77.37591911764706,0.05,0.9232526856837521,23159
22,2,12000,-272.427,79.82277318640955,0.05,0.828101536430097,24248
23,3,12000,-269.84799999999996,74.3771849126035,0.05,0.8067449927244339,25335
24,4,12000,-280.975,84.61361545538179,0.05,0.7642976720478958,26422
25,5,12000,-270.0739999999996,73.7329650092081,0.05,0.7193999654505381,27508
26,6,12000,-278.3189999999998,102.01544050862852,0.05,0.729384435416892,28609
27,7,12000,-284.67899999999963,114.99005424954792,0.05,0.7302352927185622,29715
28,8,12000,-277.52699999999965,104.7388939256573,0.05,0.6813270345495732,30818
29,9,12000,-273.3559999999999,101.31884057971014,0.05,0.6563417831759738,31922
30,10,12000,-289.6909999999996,114.86038077969175,0.05,0.6099130054108346,33025
31,1,12000,-280.62099999999964,107.89945652173913,0.05,0.6238283919403751,34129
32,2,12000,-272.5879999999999,95.9890909090909,0.05,0.6174427150575106,35229
33,3,12000,-277.5939999999999,94.06386861313868,0.05,0.5966190813983668,36325
34,4,12000,-271.69300000000004,95.17545454545454,0.05,0.5666765147828582,37425
35,1,12000,-279.05,103.13351498637603,0.05,0.5662195638594447,38526
36,2,12000,-268.9439999999998,95.23049001814881,0.05,0.5527607750117157,39628
37,3,12000,-272.6769999999999,91.77484047402005,0.05,0.5194418965635096,40725
38,4,12000,-277.0719999999997,100.42870118074478,0.05,0.5455587227493829,41826
39,5,12000,-273.4729999999999,98.52225249772934,0.05,0.519496322362062,42927
