episode,time,phase,phase_name,active_vehicle_count,total_waiting_time,average_waiting_time_per_vehicle,max_vehicle_waiting_time
1,10,0,GOBEK_PHASE_0_GREEN,0,0.0,0.0,0.0
1,20,0,GOBEK_PHASE_0_GREEN,4,0.0,0.0,0.0
1,30,0,GOBEK_PHASE_0_GREEN,7,0.0,0.0,0.0
1,40,0,GOBEK_PHASE_0_GREEN,7,0.0,0.0,0.0
1,50,2,GOBEK_PHASE_2_GREEN,14,1.0,0.07142857142857142,1.0
1,60,2,GOBEK_PHASE_2_GREEN,18,50.0,2.7777777777777777,11.0
1,70,3,GOBEK_PHASE_2_YELLOW,21,165.0,7.857142857142857,21.0
1,80,4,GOBEK_PHASE_4_GREEN,27,339.0,12.555555555555555,31.0
1,90,5,GOBEK_PHASE_4_YELLOW,34,549.0,16.147058823529413,41.0
1,100,0,GOBEK_PHASE_0_GREEN,27,0.0,0.0,0.0
1,110,0,GOBEK_PHASE_0_GREEN,17,23.0,1.3529411764705883,10.0
1,120,0,GOBEK_PHASE_0_GREEN,16,61.0,3.8125,20.0
1,130,0,GOBEK_PHASE_0_GREEN,19,112.0,5.894736842105263,30.0
1,140,2,GOBEK_PHASE_2_GREEN,20,16.0,0.8,5.0
1,150,2,GOBEK_PHASE_2_GREEN,21,74.0,3.5238095238095237,14.0
1,160,3,GOBEK_PHASE_2_YELLOW,26,193.0,7.423076923076923,24.0
1,170,4,GOBEK_PHASE_4_GREEN,34,366.0,10.764705882352942,34.0
1,180,5,GOBEK_PHASE_4_YELLOW,37,608.0,16.43243243243243,44.0
1,190,0,GOBEK_PHASE_0_GREEN,31,1.0,0.03225806451612903,1.0
1,200,0,GOBEK_PHASE_0_GREEN,20,35.0,1.75,11.0
1,210,0,GOBEK_PHASE_0_GREEN,16,75.0,4.6875,21.0
1,220,0,GOBEK_PHASE_0_GREEN,18,130.0,7.222222222222222,31.0
1,230,2,GOBEK_PHASE_2_GREEN,22,36.0,1.6363636363636365,18.0
1,240,2,GOBEK_PHASE_2_GREEN,24,67.0,2.7916666666666665,14.0
1,250,3,GOBEK_PHASE_2_YELLOW,25,213.0,8.52,24.0
1,260,4,GOBEK_PHASE_4_GREEN,31,429.0,13.838709677419354,34.0
1,270,5,GOBEK_PHASE_4_YELLOW,37,683.0,18.45945945945946,44.0
1,280,0,GOBEK_PHASE_0_GREEN,30,38.0,1.2666666666666666,31.0
1,290,0,GOBEK_PHASE_0_GREEN,19,63.0,3.3157894736842106,41.0
1,300,0,GOBEK_PHASE_0_GREEN,16,108.0,6.75,51.0
1,310,0,GOBEK_PHASE_0_GREEN,12,143.0,11.916666666666666,61.0
1,320,2,GOBEK_PHASE_2_GREEN,19,52.0,2.736842105263158,40.0
1,330,2,GOBEK_PHASE_2_GREEN,21,72.0,3.4285714285714284,16.0
1,340,3,GOBEK_PHASE_2_YELLOW,24,181.0,7.541666666666667,26.0
1,350,4,GOBEK_PHASE_4_GREEN,28,358.0,12.785714285714286,36.0
1,360,5,GOBEK_PHASE_4_YELLOW,34,599.0,17.61764705882353,46.0
1,370,0,GOBEK_PHASE_0_GREEN,29,1.0,0.034482758620689655,1.0
1,380,0,GOBEK_PHASE_0_GREEN,19,37.0,1.9473684210526316,11.0
1,390,0,GOBEK_PHASE_0_GREEN,17,87.0,5.117647058823529,21.0
1,400,0,GOBEK_PHASE_0_GREEN,16,138.0,8.625,31.0
1,410,2,GOBEK_PHASE_2_GREEN,18,40.0,2.2222222222222223,34.0
1,420,2,GOBEK_PHASE_2_GREEN,18,68.0,3.7777777777777777,12.0
1,430,3,GOBEK_PHASE_2_YELLOW,26,188.0,7.230769230769231,22.0
1,440,4,GOBEK_PHASE_4_GREEN,32,360.0,11.25,32.0
1,450,5,GOBEK_PHASE_4_YELLOW,34,593.0,17.441176470588236,42.0
1,460,0,GOBEK_PHASE_0_GREEN,27,1.0,0.037037037037037035,1.0
1,470,0,GOBEK_PHASE_0_GREEN,19,31.0,1.631578947368421,11.0
1,480,0,GOBEK_PHASE_0_GREEN,16,85.0,5.3125,21.0
1,490,0,GOBEK_PHASE_0_GREEN,15,135.0,9.0,31.0
1,500,2,GOBEK_PHASE_2_GREEN,20,87.0,4.35,35.0
1,510,2,GOBEK_PHASE_2_GREEN,21,51.0,2.4285714285714284,12.0
1,520,3,GOBEK_PHASE_2_YELLOW,26,167.0,6.423076923076923,22.0
1,530,4,GOBEK_PHASE_4_GREEN,32,352.0,11.0,32.0
1,540,5,GOBEK_PHASE_4_YELLOW,37,610.0,16.486486486486488,42.0
1,550,0,GOBEK_PHASE_0_GREEN,29,0.0,0.0,0.0
1,560,0,GOBEK_PHASE_0_GREEN,15,26.0,1.7333333333333334,9.0
1,570,0,GOBEK_PHASE_0_GREEN,13,66.0,5.076923076923077,19.0
1,580,0,GOBEK_PHASE_0_GREEN,15,116.0,7.733333333333333,29.0
1,590,2,GOBEK_PHASE_2_GREEN,17,10.0,0.5882352941176471,4.0
1,600,2,GOBEK_PHASE_2_GREEN,20,58.0,2.9,14.0
1,610,3,GOBEK_PHASE_2_YELLOW,25,178.0,7.12,24.0
1,620,4,GOBEK_PHASE_4_GREEN,35,359.0,10.257142857142858,34.0
1,630,5,GOBEK_PHASE_4_YELLOW,39,599.0,15.35897435897436,44.0
1,640,0,GOBEK_PHASE_0_GREEN,34,1.0,0.029411764705882353,1.0
1,650,0,GOBEK_PHASE_0_GREEN,21,31.0,1.4761904761904763,11.0
1,660,0,GOBEK_PHASE_0_GREEN,16,94.0,5.875,21.0
1,670,0,GOBEK_PHASE_0_GREEN,17,151.0,8.882352941176471,31.0
1,680,2,GOBEK_PHASE_2_GREEN,20,53.0,2.65,23.0
1,690,2,GOBEK_PHASE_2_GREEN,24,65.0,2.7083333333333335,16.0
1,700,3,GOBEK_PHASE_2_YELLOW,29,190.0,6.551724137931035,26.0
1,710,4,GOBEK_PHASE_4_GREEN,37,401.0,10.837837837837839,36.0
1,720,5,GOBEK_PHASE_4_YELLOW,43,685.0,15.930232558139535,46.0
1,730,0,GOBEK_PHASE_0_GREEN,37,64.0,1.7297297297297298,32.0
1,740,0,GOBEK_PHASE_0_GREEN,23,102.0,4.434782608695652,42.0
1,750,0,GOBEK_PHASE_0_GREEN,18,163.0,9.055555555555555,52.0
1,760,0,GOBEK_PHASE_0_GREEN,15,212.0,14.133333333333333,62.0
1,770,2,GOBEK_PHASE_2_GREEN,17,20.0,1.1764705882352942,10.0
1,780,2,GOBEK_PHASE_2_GREEN,24,52.0,2.1666666666666665,17.0
1,790,3,GOBEK_PHASE_2_YELLOW,25,140.0,5.6,27.0
1,800,4,GOBEK_PHASE_4_GREEN,32,310.0,9.6875,37.0
1,810,5,GOBEK_PHASE_4_YELLOW,37,558.0,15.08108108108108,47.0
1,820,0,GOBEK_PHASE_0_GREEN,30,31.0,1.0333333333333334,31.0
