episode,run_episode,total_steps,reward,average_waiting_time,epsilon,average_loss,memory_size
1,1,12000,-16802.120000000014,14560.20905923345,0.05,10.213557364956644,1148
2,2,12000,-3530.3840000000014,3063.8793418647165,0.05,5.460888770206319,2242
3,3,12000,-1474.9010000000017,1198.5786666666668,0.05,3.2622907927831015,3367
4,4,12000,-850.9300000000005,655.6112576956904,0.05,2.2812096171978804,4504
5,5,12000,-6152.886000000002,5308.671929824562,0.05,1.993199600932891,5644
6,6,12000,-354.3849999999993,215.31718061674007,0.05,1.852316215568702,6779
7,7,12000,-610.5719999999999,445.1423550087873,0.05,1.5067993543112426,7917
8,8,12000,-287.492,155.63668430335096,0.05,1.2961916052843108,9051
9,9,12000,-293.01499999999976,155.76548672566372,0.05,1.1431953339054521,10181
10,10,12000,-283.54399999999987,152.59611992945327,0.05,1.0198989601927355,11315
11,11,12000,-294.3579999999998,156.95398230088495,0.05,0.9944078950623495,12445
12,12,12000,-301.1439999999999,167.67548500881836,0.05,0.9458904720356646,13579
13,13,12000,-314.48899999999975,179.0026455026455,0.05,0.8570290150702315,14713
14,14,12000,-332.3490000000001,191.73209549071618,0.05,0.7920675095957955,15844
15,15,12000,-335.3729999999996,197.85978835978835,0.05,0.7311802096796309,16978
16,16,12000,-230.877,94.91740674955595,0.05,0.7450720372396401,18104
17,17,12000,-247.78500000000003,107.01512455516014,0.05,0.6906114148698561,19228
18,18,12000,-220.05099999999993,84.85879218472469,0.05,0.6475126461504725,20354
19,19,12000,-249.94299999999984,106.90106951871658,0.05,0.6061128921202532,21476
20,20,12000,-235.58200000000008,98.65186500888099,0.05,0.5963308033905592,22602
21,1,12000,-240.81699999999995,71.45693563009972,0.05,0.6052038631961763,23705
22,2,12000,-232.4299999999998,68.20072332730561,0.05,0.5778020482550748,24811
