episode,time,phase,phase_name,main_queue,turn_queue,side_queue,total_queue
1,10,0,MAIN_GREEN,0,0,1,1
1,20,0,MAIN_GREEN,0,0,2,2
1,30,0,MAIN_GREEN,2,0,3,5
1,40,0,MAIN_GREEN,4,2,5,11
1,50,0,MAIN_GREEN,2,4,6,12
1,60,0,MAIN_GREEN,6,5,9,20
1,70,2,TURN_GREEN,11,5,13,29
1,80,2,TURN_GREEN,15,4,13,32
1,90,4,SIDE_GREEN,18,6,8,32
1,100,4,SIDE_GREEN,24,5,5,34
1,110,4,SIDE_GREEN,26,6,4,36
1,120,0,MAIN_GREEN,19,7,5,31
1,130,0,MAIN_GREEN,5,7,6,18
1,140,0,MAIN_GREEN,7,5,7,19
1,150,0,MAIN_GREEN,5,8,8,21
1,160,0,MAIN_GREEN,6,9,9,24
1,170,0,MAIN_GREEN,10,9,9,28
1,180,1,MAIN_YELLOW,5,10,13,28
1,190,2,TURN_GREEN,10,7,15,32
1,200,3,TURN_YELLOW,15,6,17,38
1,210,4,SIDE_GREEN,18,8,8,34
1,220,4,SIDE_GREEN,21,9,4,34
1,230,5,SIDE_YELLOW,25,10,3,38
1,240,0,MAIN_GREEN,13,8,7,28
1,250,0,MAIN_GREEN,9,7,8,24
1,260,0,MAIN_GREEN,3,9,11,23
1,270,0,MAIN_GREEN,6,9,14,29
1,280,0,MAIN_GREEN,5,10,14,29
1,290,0,MAIN_GREEN,7,11,14,32
1,300,2,TURN_GREEN,7,10,16,33
1,310,2,TURN_GREEN,13,5,19,37
1,320,4,SIDE_GREEN,15,6,16,37
1,330,4,SIDE_GREEN,19,8,10,37
1,340,4,SIDE_GREEN,23,9,3,35
1,350,0,MAIN_GREEN,18,9,5,32
1,360,0,MAIN_GREEN,4,11,7,22
1,370,0,MAIN_GREEN,6,9,8,23
1,380,0,MAIN_GREEN,8,9,12,29
1,390,0,MAIN_GREEN,5,9,16,30
1,400,0,MAIN_GREEN,4,11,18,33
1,410,1,MAIN_YELLOW,4,10,18,32
1,420,2,TURN_GREEN,7,7,20,34
1,430,3,TURN_YELLOW,12,5,21,38
1,440,4,SIDE_GREEN,16,6,12,34
1,450,4,SIDE_GREEN,19,7,9,35
1,460,5,SIDE_YELLOW,22,6,5,33
1,470,0,MAIN_GREEN,9,6,8,23
1,480,0,MAIN_GREEN,5,6,11,22
1,490,0,MAIN_GREEN,7,8,13,28
1,500,0,MAIN_GREEN,5,9,15,29
1,510,0,MAIN_GREEN,5,10,18,33
1,520,0,MAIN_GREEN,7,9,19,35
1,530,2,TURN_GREEN,9,9,20,38
1,540,2,TURN_GREEN,11,5,25,41
1,550,4,SIDE_GREEN,18,4,24,46
1,560,4,SIDE_GREEN,20,8,14,42
1,570,4,SIDE_GREEN,24,8,9,41
1,580,0,MAIN_GREEN,17,9,10,36
1,590,0,MAIN_GREEN,4,9,13,26
1,600,0,MAIN_GREEN,7,6,13,26
1,610,0,MAIN_GREEN,6,8,14,28
1,620,0,MAIN_GREEN,3,8,15,26
1,630,0,MAIN_GREEN,1,10,17,28
1,640,1,MAIN_YELLOW,2,10,18,30
1,650,2,TURN_GREEN,4,8,20,32
1,660,3,TURN_YELLOW,8,5,22,35
1,670,4,SIDE_GREEN,13,7,13,33
1,680,4,SIDE_GREEN,16,8,7,31
1,690,5,SIDE_YELLOW,20,11,3,34
1,700,0,MAIN_GREEN,5,13,4,22
1,710,0,MAIN_GREEN,2,15,6,23
1,720,0,MAIN_GREEN,6,15,6,27
1,730,0,MAIN_GREEN,6,16,5,27
1,740,0,MAIN_GREEN,9,17,6,32
1,750,0,MAIN_GREEN,5,18,8,31
1,760,2,TURN_GREEN,7,18,11,36
1,770,2,TURN_GREEN,11,16,13,40
1,780,4,SIDE_GREEN,14,17,12,43
1,790,4,SIDE_GREEN,18,20,7,45
1,800,4,SIDE_GREEN,22,20,4,46
1,810,0,MAIN_GREEN,15,22,7,44
1,820,0,MAIN_GREEN,7,22,11,40
1,830,0,MAIN_GREEN,8,22,11,41
1,840,0,MAIN_GREEN,8,23,12,43
1,850,0,MAIN_GREEN,4,25,14,43
1,860,0,MAIN_GREEN,4,27,15,46
1,870,1,MAIN_YELLOW,7,28,18,53
1,880,2,TURN_GREEN,13,25,19,57
1,890,3,TURN_YELLOW,19,21,20,60
1,900,4,SIDE_GREEN,24,21,12,57
1,910,4,SIDE_GREEN,25,23,8,56
1,920,5,SIDE_YELLOW,30,24,6,60
1,930,0,MAIN_GREEN,17,26,6,49
1,940,0,MAIN_GREEN,11,26,7,44
1,950,0,MAIN_GREEN,5,28,9,42
1,960,0,MAIN_GREEN,6,29,10,45
1,970,0,MAIN_GREEN,4,31,12,47
1,980,0,MAIN_GREEN,6,32,12,50
1,990,2,TURN_GREEN,11,30,12,53
1,1000,2,TURN_GREEN,14,27,15,56
1,1010,4,SIDE_GREEN,20,25,12,57
1,1020,4,SIDE_GREEN,23,28,5,56
1,1030,4,SIDE_GREEN,28,29,4,61
1,1040,0,MAIN_GREEN,26,29,6,61
1,1050,0,MAIN_GREEN,13,29,8,50
1,1060,0,MAIN_GREEN,7,29,11,47
1,1070,0,MAIN_GREEN,3,30,13,46
1,1080,0,MAIN_GREEN,4,30,14,48
1,1090,0,MAIN_GREEN,1,30,15,46
1,1100,1,MAIN_YELLOW,1,32,15,48
1,1110,2,TURN_GREEN,5,30,19,54
1,1120,3,TURN_YELLOW,8,28,21,57
1,1130,4,SIDE_GREEN,12,29,13,54
1,1140,4,SIDE_GREEN,14,29,9,52
1,1150,5,SIDE_YELLOW,18,31,8,57
1,1160,0,MAIN_GREEN,6,33,10,49
1,1170,0,MAIN_GREEN,5,34,12,51
