episode,run_episode,total_steps,reward,average_queue,epsilon,average_loss,memory_size
1,1,12000,-21888.899999999954,191.1263157894737,0.05,5.108865227365325,1140
2,2,12000,-16232.700000000003,140.96244541484717,0.05,0.08288389606864952,2285
3,3,12000,-13786.0,120.96017699115045,0.05,0.06684259784168901,3415
4,4,12000,-13564.500000000022,119.64381121994657,0.05,0.05881491447745002,4538
5,5,12000,-13122.800000000008,116.31989247311827,0.05,0.05349334999985699,5654
6,6,12000,-12369.29999999999,113.12372093023255,0.05,0.3697123068224552,6729
7,7,12000,-12377.59999999998,112.5656192236599,0.05,0.16738925253121997,7811
8,8,12000,-12350.299999999981,112.41258094357077,0.05,0.16429721924521987,8892
9,9,12000,-12370.400000000003,112.41366574330563,0.05,0.1622732280171369,9975
10,10,12000,-12570.000000000016,114.61538461538461,0.05,0.1577875178524805,11054
11,11,12000,-12175.699999999995,112.01686972820994,0.05,0.42830229446557266,12121
12,12,12000,-12358.90000000001,113.74789128397376,0.05,0.2797449533639942,13188
13,13,12000,-12314.600000000013,113.32333645735707,0.05,0.2764555661753169,14255
14,14,12000,-12268.299999999994,112.62429906542056,0.05,0.27817582981748,15325
15,15,12000,-12229.799999999997,112.25514018691588,0.05,0.27112751316244355,16395
16,16,12000,-11492.5,105.70356472795497,0.05,0.520578231278101,17461
17,17,12000,-11740.100000000004,107.59663865546219,0.05,0.42926760425532007,18532
18,18,12000,-11711.000000000016,107.25279850746269,0.05,0.44182544553291,19604
19,19,12000,-11698.599999999991,107.21381886087768,0.05,0.4355241944865575,20675
20,20,12000,-12041.099999999999,109.96840148698885,0.05,0.45806095148107817,21751
