mode,vehicle_id,depart_time,arrival_time,travel_time
default,test_be_000,90.00,944.00,854.00
default,test_be_001,395.00,1370.00,975.00
default,test_be_002,424.00,1761.00,1337.00
default,test_be_003,472.00,1759.00,1287.00
default,test_be_004,525.00,1462.00,937.00
default,test_be_005,763.00,1671.00,908.00
default,test_be_006,790.00,2180.00,1390.00
default,test_be_007,1053.00,2061.00,1008.00
default,test_be_008,1288.00,2780.00,1492.00
default,test_be_009,1405.00,2366.00,961.00
default,test_be_010,1483.00,2985.00,1502.00
default,test_be_011,1527.00,2967.00,1440.00
default,test_be_012,1604.00,2560.00,956.00
default,test_be_013,1675.00,2977.00,1302.00
default,test_be_014,1847.00,3161.00,1314.00
default,test_be_015,2586.00,4002.00,1416.00
default,test_be_016,2737.00,4104.00,1367.00
default,test_be_017,2868.00,3896.00,1028.00
default,test_be_018,3371.00,4784.00,1413.00
default,test_be_019,3576.00,5004.00,1428.00
default,test_be_020,3605.00,5702.00,2097.00
default,test_be_021,3743.00,5300.00,1557.00
default,test_be_022,3754.00,4887.00,1133.00
default,test_be_023,3771.00,4777.00,1006.00
default,test_be_024,3833.00,5306.00,1473.00
default,test_be_025,3920.00,4981.00,1061.00
default,test_be_026,3940.00,5307.00,1367.00
default,test_be_027,4008.00,5414.00,1406.00
default,test_be_028,4222.00,5689.00,1467.00
default,test_be_029,4464.00,5794.00,1330.00
default,test_be_030,4494.00,5895.00,1401.00
default,test_be_031,4532.00,6001.00,1469.00
default,test_be_032,4537.00,5635.00,1098.00
default,test_be_033,4675.00,5893.00,1218.00
default,test_be_034,4710.00,5611.00,901.00
default,test_be_035,4928.00,6327.00,1399.00
default,test_be_036,5301.00,6720.00,1419.00
default,test_be_037,5321.00,6325.00,1004.00
default,test_be_038,5677.00,7103.00,1426.00
default,test_be_039,5739.00,7105.00,1366.00
default,test_be_040,6122.00,7437.00,1315.00
default,test_be_041,6218.00,7523.00,1305.00
default,test_be_042,6352.00,7326.00,974.00
default,test_be_043,6370.00,7329.00,959.00
default,test_be_044,6405.00,7713.00,1308.00
default,test_be_045,6634.00,8129.00,1495.00
default,test_be_046,6711.00,7734.00,1023.00
default,test_be_047,7098.00,8222.00,1124.00
default,test_be_048,7100.00,8632.00,1532.00
default,test_be_049,7676.00,9013.00,1337.00
default,test_be_050,8472.00,9534.00,1062.00
default,test_be_051,8555.00,9453.00,898.00
default,test_be_052,8897.00,10259.00,1362.00
default,test_be_053,8995.00,10262.00,1267.00
default,test_be_054,9128.00,10443.00,1315.00
default,test_be_055,9238.00,10229.00,991.00
default,test_be_056,9318.00,10559.00,1241.00
default,test_be_057,9387.00,10357.00,970.00
default,test_be_058,9647.00,10647.00,1000.00
default,test_be_059,9753.00,10766.00,1013.00
default,test_be_060,9836.00,10936.00,1100.00
default,test_be_061,10062.00,11356.00,1294.00
default,test_be_062,10166.00,11149.00,983.00
default,test_be_063,10340.00,11641.00,1301.00
default,test_be_064,10486.00,11864.00,1378.00
default,test_be_065,10647.00,11964.00,1317.00
default,test_be_066,10704.00,11754.00,1050.00
default,test_be_067,10715.00,11857.00,1142.00
default,test_be_068,10868.00,11858.00,990.00
default,test_be_069,10909.00,12255.00,1346.00
default,test_be_070,11011.00,12151.00,1140.00
default,test_be_071,11406.00,12681.00,1275.00
default,test_be_072,11553.00,12489.00,936.00
default,test_be_073,11779.00,12876.00,1097.00
default,test_be_074,11884.00,13293.00,1409.00
default,test_be_075,12264.00,13584.00,1320.00
default,test_be_076,12275.00,13577.00,1302.00
default,test_be_077,12394.00,13872.00,1478.00
default,test_be_078,13033.00,14584.00,1551.00
default,test_be_079,13290.00,14911.00,1621.00
default,test_be_080,13542.00,14974.00,1432.00
default,test_be_081,13562.00,15197.00,1635.00
default,test_be_082,13615.00,16214.00,2599.00
default,test_be_083,13938.00,15492.00,1554.00
default,test_be_084,14169.00,15694.00,1525.00
default,test_be_085,14246.00,15814.00,1568.00
default,test_be_086,14450.00,16021.00,1571.00
default,test_be_087,14467.00,16105.00,1638.00
default,test_be_088,14743.00,16215.00,1472.00
default,test_be_089,14994.00,16288.00,1294.00
default,test_be_090,15083.00,16035.00,952.00
default,test_be_091,15376.00,16716.00,1340.00
default,test_be_092,15702.00,16821.00,1119.00
default,test_be_093,15819.00,17097.00,1278.00
default,test_be_094,16064.00,17604.00,1540.00
default,test_be_095,16304.00,19115.00,2811.00
default,test_be_096,16330.00,18235.00,1905.00
default,test_be_097,16553.00,19021.00,2468.00
default,test_be_098,16678.00,18720.00,2042.00
default,test_be_099,16710.00,19128.00,2418.00
