mode,vehicle_id,depart_time,arrival_time,travel_time
green_wave,test_be_000,90.00,951.00,861.00
green_wave,test_be_001,394.00,1580.00,1186.00
green_wave,test_be_002,425.00,1355.00,930.00
green_wave,test_be_003,473.00,1715.00,1242.00
green_wave,test_be_004,527.00,1720.00,1193.00
green_wave,test_be_005,764.00,2069.00,1305.00
green_wave,test_be_006,791.00,2180.00,1389.00
green_wave,test_be_007,1056.00,2309.00,1253.00
green_wave,test_be_008,1292.00,2177.00,885.00
green_wave,test_be_009,1409.00,2300.00,891.00
green_wave,test_be_010,1486.00,2524.00,1038.00
green_wave,test_be_011,1530.00,2406.00,876.00
green_wave,test_be_012,1608.00,2898.00,1290.00
green_wave,test_be_013,1679.00,3008.00,1329.00
green_wave,test_be_014,1849.00,3249.00,1400.00
green_wave,test_be_015,2587.00,4085.00,1498.00
green_wave,test_be_016,2737.00,3998.00,1261.00
green_wave,test_be_017,2868.00,3967.00,1099.00
green_wave,test_be_018,3372.00,4805.00,1433.00
green_wave,test_be_019,3577.00,4822.00,1245.00
green_wave,test_be_020,3606.00,4936.00,1330.00
green_wave,test_be_021,3745.00,5047.00,1302.00
green_wave,test_be_022,3756.00,5049.00,1293.00
green_wave,test_be_023,3773.00,5041.00,1268.00
green_wave,test_be_024,3835.00,5176.00,1341.00
green_wave,test_be_025,3921.00,4798.00,877.00
green_wave,test_be_026,3941.00,5051.00,1110.00
green_wave,test_be_027,4012.00,5183.00,1171.00
green_wave,test_be_028,4225.00,5525.00,1300.00
green_wave,test_be_029,4467.00,5903.00,1436.00
green_wave,test_be_030,4496.00,5658.00,1162.00
green_wave,test_be_031,4533.00,5908.00,1375.00
green_wave,test_be_032,4538.00,5553.00,1015.00
green_wave,test_be_033,4675.00,6009.00,1334.00
green_wave,test_be_034,4710.00,5559.00,849.00
green_wave,test_be_035,4930.00,5912.00,982.00
green_wave,test_be_036,5304.00,6523.00,1219.00
green_wave,test_be_037,5325.00,6275.00,950.00
green_wave,test_be_038,5682.00,6714.00,1032.00
green_wave,test_be_039,5745.00,6718.00,973.00
green_wave,test_be_040,6128.00,7206.00,1078.00
green_wave,test_be_041,6224.00,7465.00,1241.00
green_wave,test_be_042,6359.00,7930.00,1571.00
green_wave,test_be_043,6377.00,7842.00,1465.00
green_wave,test_be_044,6412.00,7825.00,1413.00
green_wave,test_be_045,6636.00,8077.00,1441.00
green_wave,test_be_046,6713.00,7703.00,990.00
green_wave,test_be_047,7099.00,8538.00,1439.00
green_wave,test_be_048,7101.00,8420.00,1319.00
green_wave,test_be_049,7678.00,8879.00,1201.00
green_wave,test_be_050,8475.00,9715.00,1240.00
green_wave,test_be_051,8560.00,9473.00,913.00
green_wave,test_be_052,8904.00,10192.00,1288.00
green_wave,test_be_053,9004.00,9974.00,970.00
green_wave,test_be_054,9135.00,10677.00,1542.00
green_wave,test_be_055,9246.00,10203.00,957.00
green_wave,test_be_056,9327.00,10600.00,1273.00
green_wave,test_be_057,9395.00,10431.00,1036.00
green_wave,test_be_058,9657.00,10922.00,1265.00
green_wave,test_be_059,9764.00,10689.00,925.00
green_wave,test_be_060,9847.00,11073.00,1226.00
green_wave,test_be_061,10071.00,11041.00,970.00
green_wave,test_be_062,10177.00,11154.00,977.00
green_wave,test_be_063,10352.00,11411.00,1059.00
green_wave,test_be_064,10498.00,12113.00,1615.00
green_wave,test_be_065,10660.00,11519.00,859.00
green_wave,test_be_066,10716.00,12128.00,1412.00
green_wave,test_be_067,10728.00,11771.00,1043.00
green_wave,test_be_068,10880.00,12239.00,1359.00
green_wave,test_be_069,10921.00,12001.00,1080.00
green_wave,test_be_070,11023.00,12261.00,1238.00
green_wave,test_be_071,11417.00,12847.00,1430.00
green_wave,test_be_072,11563.00,13001.00,1438.00
green_wave,test_be_073,11788.00,12770.00,982.00
green_wave,test_be_074,11892.00,13331.00,1439.00
green_wave,test_be_075,12274.00,13451.00,1177.00
green_wave,test_be_076,12285.00,13686.00,1401.00
green_wave,test_be_077,12405.00,13811.00,1406.00
green_wave,test_be_078,13036.00,14529.00,1493.00
green_wave,test_be_079,13294.00,15497.00,2203.00
green_wave,test_be_080,13550.00,15252.00,1702.00
green_wave,test_be_081,13570.00,15140.00,1570.00
green_wave,test_be_082,13623.00,14896.00,1273.00
green_wave,test_be_083,13946.00,15736.00,1790.00
green_wave,test_be_084,14177.00,15482.00,1305.00
green_wave,test_be_085,14254.00,15616.00,1362.00
green_wave,test_be_086,14460.00,15870.00,1410.00
green_wave,test_be_087,14477.00,16093.00,1616.00
green_wave,test_be_088,14754.00,16807.00,2053.00
green_wave,test_be_089,15007.00,16452.00,1445.00
green_wave,test_be_090,15097.00,16922.00,1825.00
green_wave,test_be_091,15392.00,17043.00,1651.00
green_wave,test_be_092,15720.00,17273.00,1553.00
green_wave,test_be_093,15836.00,18012.00,2176.00
green_wave,test_be_094,16082.00,18241.00,2159.00
green_wave,test_be_095,16322.00,18616.00,2294.00
green_wave,test_be_096,16349.00,18517.00,2168.00
green_wave,test_be_097,16572.00,18266.00,1694.00
green_wave,test_be_098,16700.00,18621.00,1921.00
green_wave,test_be_099,16732.00,18625.00,1893.00
